country,year,population,yearly_%_change,yearly_change,migrants(net),median_age,fetility_rate,density,urban_pop_%,urban_pop,country_share_of_world_pop,world_pop,China_global_rank
Holy See,1955,908,0 %,0,"2,270",N.A.,N.A.,0 %,"2,773,019,936",235,,,
Bangladesh,1955,"42,086,301",2.12 %,"838,324","-11,019",19.3,6.36,323,4.7 %,"1,974,441",1.52 %,"2,773,019,936",
Russia,1955,"111,355,300",1.61 %,"1,711,329","6,559",26.1,2.85,7,49.0 %,"54,512,824",4.02 %,"2,773,019,936",
Tokelau,1955,"1,607",0.52 %,8,161,0 %,0,0 %,"2,773,019,936",234,,,
Niue,1955,"4,694",0.12 %,5,18,21.5 %,"1,009",0 %,"2,773,019,936",228,,,
Falkland Islands,1955,"2,204",-0.49 %,-11,0,50.8 %,"1,119",0 %,"2,773,019,936",232,,,
Montserrat,1955,"14,233",1.03 %,143,142,15.9 %,"2,259",0 %,"2,773,019,936",213,,,
Saint Pierre & Miquelon,1955,"4,755",0.79 %,37,21,82.9 %,"3,942",0 %,"2,773,019,936",227,,,
Saint Helena,1955,"5,345",0.37 %,20,14,46.5 %,"2,486",0 %,"2,773,019,936",224,,,
Nauru,1955,"3,819",2.21 %,79,191,94.8 %,"3,619",0 %,"2,773,019,936",229,,,
Saint Barthelemy,1955,"2,245",2.32 %,49,107,0 %,0,0 %,"2,773,019,936",231,,,
Tuvalu,1955,"5,069",1.64 %,79,169,14.7 %,745,0 %,"2,773,019,936",226,,,
Wallis & Futuna,1955,"7,669",1.84 %,134,55,0 %,0,0 %,"2,773,019,936",221,,,
Cook Islands,1955,"16,347",1.63 %,254,68,42.3 %,"6,907",0 %,"2,773,019,936",211,,,
Anguilla,1955,"5,783",2.47 %,133,64,98.6 %,"5,700",0 %,"2,773,019,936",223,,,
Palau,1955,"8,322",2.26 %,176,18,54.9 %,"4,570",0 %,"2,773,019,936",217,,,
Caribbean Netherlands,1955,"7,670",1.49 %,110,23,72.6 %,"5,568",0 %,"2,773,019,936",220,,,
British Virgin Islands,1955,"7,679",0.63 %,48,51,11.7 %,898,0 %,"2,773,019,936",219,,,
Gibraltar,1955,"22,788",0.67 %,150,"2,279",99.9 %,"22,775",0 %,"2,773,019,936",206,,,
San Marino,1955,"13,789",1.53 %,202,230,46 %,"6,340",0 %,"2,773,019,936",215,,,
Liechtenstein,1955,"14,830",1.51 %,214,93,20.4 %,"3,019",0 %,"2,773,019,936",212,,,
Saint Martin,1955,"3,408",2.56 %,81,64,0 %,0,0 %,"2,773,019,936",230,,,
Turks and Caicos,1955,"5,238",0.73 %,37,6,47 %,"2,464",0 %,"2,773,019,936",225,,,
Monaco,1955,"19,655",-0.34 %,-68,"13,191",N.A.,N.A.,0 %,"2,773,019,936",209,,,
Sint Maarten,1955,"2,108",7.06 %,122,62,N.A.,N.A.,0 %,"2,773,019,936",233,,,
Faeroe Islands,1955,"32,481",0.61 %,196,23,18.6 %,"6,044",0 %,"2,773,019,936",202,,,
Saint Kitts & Nevis,1955,"48,492",1.04 %,489,187,27 %,"13,101",0 %,"2,773,019,936",195,,,
American Samoa,1955,"19,754",0.85 %,163,99,63.9 %,"12,613",0 %,"2,773,019,936",208,,,
Greenland,1955,"25,846",2.36 %,570,0,53.8 %,"13,905",0 %,"2,773,019,936",205,,,
Northern Mariana Islands,1955,"7,985",2.67 %,197,17,46 %,"3,671",0 %,"2,773,019,936",218,,,
Marshall Islands,1955,"13,894",1.34 %,179,77,29.1 %,"4,040",0 %,"2,773,019,936",214,,,
Bermuda,1955,"40,708",1.79 %,690,814,N.A.,N.A.,0 %,"2,773,019,936",197,,,
Cayman Islands,1955,"6,677",0.8 %,52,28,N.A.,N.A.,0 %,"2,773,019,936",222,,,
Dominica,1955,"54,560",1.32 %,692,73,36.3 %,"19,798",0 %,"2,773,019,936",192,,,
Isle of Man,1955,"52,408",-1.05 %,-569,92,54 %,"28,315",0 %,"2,773,019,936",193,,,
Andorra,1955,"9,232",8.3 %,607,20,48.6 %,"4,484",0 %,"2,773,019,936",216,,,
Antigua and Barbuda,1955,"49,648",1.75 %,826,-195,18.8,4.50,113,37.2 %,"18,455",0.00 %,"2,773,019,936",
Seychelles,1955,"38,955",1.41 %,526,-475,24.1,5.00,85,27.4 %,"10,683",0.00 %,"2,773,019,936",
U.S. Virgin Islands,1955,"29,682",2.07 %,577,-60,21.5,5.25,85,57.2 %,"16,982",0.00 %,"2,773,019,936",
Tonga,1955,"55,322",3.22 %,"1,620",-269,17.2,7.30,77,15.5 %,"8,566",0.00 %,"2,773,019,936",
Grenada,1955,"81,103",1.13 %,884,"-1,220",17.1,5.80,239,29.4 %,"23,825",0.00 %,"2,773,019,936",
Aruba,1955,"43,724",2.81 %,"1,131",-316,18.1,5.65,243,50.9 %,"22,235",0.00 %,"2,773,019,936",
St. Vincent & Grenadines,1955,"73,554",1.88 %,"1,311","-1,046",14.9,7.33,189,23.7 %,"17,468",0.00 %,"2,773,019,936",
Kiribati,1955,"36,573",2.05 %,705,-129,18.7,6.10,45,13.4 %,"4,913",0.00 %,"2,773,019,936",
Curaçao,1955,"116,916",3.14 %,"3,347",524,21.4,5.07,263,72.7 %,"84,982",0.00 %,"2,773,019,936",
Guam,1955,"62,641",0.98 %,598,-768,22.3,5.53,116,45.7 %,"28,605",0.00 %,"2,773,019,936",
Channel Islands,1955,"105,609",0.65 %,675,437,36.1,2.06,556,40.0 %,"42,278",0.00 %,"2,773,019,936",
Saint Lucia,1955,"86,477",0.88 %,739,"-1,746",20.1,6.00,142,20.3 %,"17,596",0.00 %,"2,773,019,936",
Samoa,1955,"94,178",2.78 %,"2,416",-996,15.6,7.63,33,17.4 %,"16,398",0.00 %,"2,773,019,936",
Sao Tome & Principe,1955,"58,806",-0.40 %,-239,"-1,828",24.5,6.20,61,14.7 %,"8,661",0.00 %,"2,773,019,936",
Mayotte,1955,"18,985",4.63 %,769,524,22.7,7.91,51,11.9 %,"2,256",0.00 %,"2,773,019,936",
French Polynesia,1955,"68,854",2.70 %,"1,718",-257,18.5,6.00,19,37.7 %,"25,947",0.00 %,"2,773,019,936",
New Caledonia,1955,"67,748",0.89 %,585,-692,22.4,5.22,4,30.6 %,"20,732",0.00 %,"2,773,019,936",
Barbados,1955,"227,138",1.49 %,"3,229","-1,192",24.2,4.42,528,36.4 %,"82,687",0.01 %,"2,773,019,936",
Vanuatu,1955,"54,921",2.86 %,"1,445",-179,16.8,7.60,5,9.5 %,"5,243",0.00 %,"2,773,019,936",
French Guiana,1955,"28,490",2.26 %,604,46,25.5,5.00,0,58.6 %,"16,687",0.00 %,"2,773,019,936",
Iceland,1955,"157,642",2.02 %,"2,997",-83,26.2,3.86,2,76.8 %,"121,006",0.01 %,"2,773,019,936",
Martinique,1955,"245,675",2.05 %,"4,735","-1,601",19.9,5.71,232,33.6 %,"82,620",0.01 %,"2,773,019,936",
Bahamas,1955,"88,631",2.30 %,"1,908",-184,20.1,4.05,9,55.9 %,"49,566",0.00 %,"2,773,019,936",
Belize,1955,"79,870",2.99 %,"2,190",-591,18.6,6.65,4,54.7 %,"43,673",0.00 %,"2,773,019,936",
Brunei ,1955,"63,356",5.71 %,"3,071","1,340",21.1,6.90,12,34.6 %,"21,948",0.00 %,"2,773,019,936",
Guadeloupe,1955,"236,064",2.37 %,"5,212",-561,20.3,5.61,140,47.5 %,"112,074",0.01 %,"2,773,019,936",
Malta,1955,"313,526",0.10 %,305,"-5,843",21.9,4.15,980,89.7 %,"281,301",0.01 %,"2,773,019,936",
Maldives,1955,"79,703",1.58 %,"1,198",-4,19.8,6.03,266,10.9 %,"8,680",0.00 %,"2,773,019,936",
Micronesia,1955,"171,107",1.92 %,"3,108","-1,000",20.2,6.25,54,33.6 %,"57,426",0.0 %,"2,773,019,936",
Cabo Verde,1955,"197,195",2.06 %,"3,826","-1,185",21.7,6.57,49,15.4 %,"30,400",0.01 %,"2,773,019,936",
Suriname,1955,"249,000",2.98 %,"6,800",-685,19.0,6.56,2,47.3 %,"117,726",0.01 %,"2,773,019,936",
Western Sahara,1955,"21,147",8.97 %,"1,476","1,120",20.1,6.34,0,31.1 %,"6,576",0.00 %,"2,773,019,936",
Luxembourg,1955,"305,261",0.62 %,"1,852","1,151",35.7,1.98,118,68.4 %,"208,830",0.01 %,"2,773,019,936",
Montenegro,1955,"443,795",2.37 %,"9,811","2,000",22.2,4.35,33,15.5 %,"68,854",0.02 %,"2,773,019,936",
Macao,1955,"189,460",-0.73 %,"-1,404","-6,475",25.2,4.39,"6,315",96.2 %,"182,204",0.01 %,"2,773,019,936",
Solomon Islands,1955,"102,002",2.58 %,"2,442",565,18.6,6.40,4,4.7 %,"4,774",0.00 %,"2,773,019,936",
Guyana,1955,"482,555",3.49 %,"15,199",335,18.6,6.04,2,28.5 %,"137,627",0.02 %,"2,773,019,936",
Comoros,1955,"175,903",1.98 %,"3,289",0,20.6,6.00,95,9.1 %,"16,095",0.01 %,"2,773,019,936",
Fiji,1955,"335,098",3.01 %,"9,222","-1,445",16.0,6.63,18,26.9 %,"90,219",0.01 %,"2,773,019,936",
Réunion,1955,"291,658",3.29 %,"8,710",509,18.8,6.93,117,27.9 %,"81,450",0.01 %,"2,773,019,936",
Djibouti,1955,"69,589",2.34 %,"1,518",200,17.5,6.31,3,45.0 %,"31,323",0.00 %,"2,773,019,936",
Bhutan,1955,"197,457",2.23 %,"4,132","1,000",18.5,6.67,5,2.8 %,"5,431",0.01 %,"2,773,019,936",
Cyprus,1955,"529,972",1.42 %,"7,191","-2,760",24.4,3.71,57,32.3 %,"171,363",0.02 %,"2,773,019,936",
Eswatini,1955,"303,028",2.11 %,"6,005","-1,135",17.8,6.70,18,2.6 %,"7,761",0.01 %,"2,773,019,936",
Mauritius,1955,"570,648",2.96 %,"15,479",532,16.9,5.90,281,31.6 %,"180,433",0.02 %,"2,773,019,936",
Timor-Leste,1955,"439,223",1.15 %,"4,893",0,18.4,6.55,30,10.5 %,"46,096",0.02 %,"2,773,019,936",
Estonia,1955,"1,159,231",1.04 %,"11,647","7,400",30.2,2.06,27,53.6 %,"621,619",0.04 %,"2,773,019,936",
Trinidad and Tobago,1955,"739,709",2.76 %,"18,815",-764,19.4,5.30,144,30.1 %,"222,449",0.03 %,"2,773,019,936",
Bahrain,1955,"133,585",2.93 %,"3,595",616,19.2,6.97,176,75.5 %,"100,895",0.00 %,"2,773,019,936",
Equatorial Guinea,1955,"239,873",1.24 %,"2,867",0,23.1,5.67,9,20.3 %,"48,725",0.01 %,"2,773,019,936",
Latvia,1955,"2,001,574",0.77 %,"15,001","5,744",30.5,2.00,32,49.5 %,"990,984",0.07 %,"2,773,019,936",
Guinea-Bissau,1955,"576,136",1.48 %,"8,142","-2,000",21.1,5.90,20,11.7 %,"67,249",0.02 %,"2,773,019,936",
North Macedonia,1955,"1,392,449",2.11 %,"27,601",0,21.6,5.06,55,28.4 %,"395,856",0.05 %,"2,773,019,936",
Slovenia,1955,"1,527,205",0.72 %,"10,822","-4,000",28.2,2.68,76,23.8 %,"363,718",0.06 %,"2,773,019,936",
Lesotho,1955,"766,763",1.70 %,"12,415","-4,000",18.3,5.84,25,2.1 %,"16,146",0.03 %,"2,773,019,936",
Botswana,1955,"463,359",2.35 %,"10,166","-1,531",18.8,6.50,1,2.9 %,"13,543",0.02 %,"2,773,019,936",
Gabon,1955,"484,313",0.46 %,"2,203",600,27.9,3.99,2,14.1 %,"68,209",0.02 %,"2,773,019,936",
Lithuania,1955,"2,628,751",0.47 %,"12,270","-14,670",28.0,2.84,42,34.1 %,"895,127",0.09 %,"2,773,019,936",
Namibia,1955,"567,847",2.00 %,"10,693",0,20.3,6.00,1,14.7 %,"83,453",0.02 %,"2,773,019,936",
Gambia,1955,"329,661",1.57 %,"4,954",0,18.0,6.35,33,10.3 %,"33,939",0.01 %,"2,773,019,936",
Puerto Rico,1955,"2,195,516",-0.20 %,"-4,497","-67,187",18.5,4.97,248,43.4 %,"953,627",0.08 %,"2,773,019,936",
Qatar,1955,"35,866",7.48 %,"2,173","1,137",19.4,6.97,3,83.0 %,"29,779",0.00 %,"2,773,019,936",
Albania,1955,"1,419,994",2.37 %,"31,364",-20,20.6,6.23,52,26.9 %,"381,458",0.05 %,"2,773,019,936",
Jamaica,1955,"1,540,956",1.89 %,"27,611","-7,788",22.0,4.22,142,28.7 %,"442,709",0.06 %,"2,773,019,936",
Mongolia,1955,"855,103",1.85 %,"14,981",0,24.3,5.60,1,26.6 %,"227,618",0.03 %,"2,773,019,936",
Armenia,1955,"1,563,507",2.93 %,"41,999","9,973",22.7,4.49,55,46.0 %,"718,453",0.06 %,"2,773,019,936",
Bosnia and Herzegovina,1955,"2,936,309",1.99 %,"55,003","-10,000",20.8,4.82,58,16.2 %,"474,882",0.11 %,"2,773,019,936",
Uruguay,1955,"2,372,559",1.17 %,"26,810","2,000",28.4,2.73,14,79.1 %,"1,876,873",0.09 %,"2,773,019,936",
Eritrea,1955,"899,752",1.82 %,"15,480",199,17.8,6.97,9,11.6 %,"104,318",0.03 %,"2,773,019,936",
Georgia,1955,"3,713,133",1.03 %,"37,225","8,976",27.4,2.75,53,40.1 %,"1,487,723",0.13 %,"2,773,019,936",
Moldova,1955,"2,627,012",2.33 %,"57,203","18,019",26.6,3.50,80,20.7 %,"542,742",0.09 %,"2,773,019,936",
Croatia,1955,"4,030,415",0.92 %,"36,024",-4,28.2,2.73,72,26.0 %,"1,049,201",0.15 %,"2,773,019,936",
Kuwait,1955,"181,888",3.51 %,"5,758",770,22.7,7.20,10,69.3 %,"126,132",0.01 %,"2,773,019,936",
Mauritania,1955,"738,299",2.53 %,"17,373",-260,18.0,6.34,1,4.7 %,"34,636",0.03 %,"2,773,019,936",
Panama,1955,"981,080",2.68 %,"24,284","-2,813",18.4,5.76,13,38.5 %,"377,396",0.04 %,"2,773,019,936",
New Zealand,1955,"2,136,391",2.29 %,"45,678","12,482",28.7,3.69,8,73.6 %,"1,572,956",0.08 %,"2,773,019,936",
Ireland,1955,"2,873,415",-0.27 %,"-7,853","-34,071",30.2,3.42,42,44.1 %,"1,267,440",0.10 %,"2,773,019,936",
Central African Republic,1955,"1,401,341",1.10 %,"14,938",0,22.3,5.52,2,17.0 %,"238,917",0.05 %,"2,773,019,936",
Liberia,1955,"1,011,363",1.69 %,"16,267",-3,19.3,6.27,11,15.6 %,"157,492",0.04 %,"2,773,019,936",
Costa Rica,1955,"1,110,087",3.26 %,"32,878",982,18.1,6.12,22,34.2 %,"379,324",0.04 %,"2,773,019,936",
State of Palestine,1955,"987,755",1.17 %,"11,165","-13,763",17.0,7.38,164,40.6 %,"401,302",0.04 %,"2,773,019,936",
Oman,1955,"495,818",1.67 %,"7,880","-2,000",18.5,7.25,2,12.0 %,"59,302",0.02 %,"2,773,019,936",
Norway,1955,"3,430,340",0.99 %,"33,013",-792,33.6,2.60,9,50.2 %,"1,722,816",0.12 %,"2,773,019,936",
Slovakia,1955,"3,815,402",2.11 %,"75,766","13,705",27.4,3.50,79,31.7 %,"1,209,955",0.14 %,"2,773,019,936",
Finland,1955,"4,238,275",1.12 %,"45,996","-6,508",28.0,3.00,14,49.1 %,"2,082,406",0.15 %,"2,773,019,936",
Denmark,1955,"4,440,778",0.80 %,"34,501","-3,656",32.4,2.55,105,69.6 %,"3,091,616",0.16 %,"2,773,019,936",
Congo,1955,"911,029",1.95 %,"16,755",0,19.7,5.68,3,28.4 %,"258,973",0.03 %,"2,773,019,936",
Turkmenistan,1955,"1,364,635",2.42 %,"30,728","1,745",23.0,5.30,3,45.7 %,"623,450",0.05 %,"2,773,019,936",
Singapore,1955,"1,305,105",5.01 %,"56,602","13,112",19.4,6.61,"1,864",100.0 %,"1,305,091",0.05 %,"2,773,019,936",
Kyrgyzstan,1955,"1,904,062",1.82 %,"32,812","3,505",25.3,4.36,10,30.6 %,"582,387",0.07 %,"2,773,019,936",
Nicaragua,1955,"1,508,102",3.09 %,"42,622","-2,162",17.4,7.20,13,37.4 %,"563,437",0.05 %,"2,773,019,936",
El Salvador,1955,"2,432,880",2.03 %,"46,596","-12,430",18.1,6.36,117,37.4 %,"909,227",0.09 %,"2,773,019,936",
Lebanon,1955,"1,532,115",2.80 %,"39,499",323,22.0,5.74,150,36.3 %,"556,202",0.06 %,"2,773,019,936",
Libya,1955,"1,245,358",2.06 %,"24,169",0,19.8,7.14,1,23.2 %,"289,027",0.04 %,"2,773,019,936",
Bulgaria,1955,"7,561,493",0.84 %,"62,099","-20,179",28.9,2.53,70,32.2 %,"2,435,785",0.27 %,"2,773,019,936",
Laos,1955,"1,890,854",2.36 %,"41,588",-2,19.4,5.94,8,7.6 %,"143,427",0.07 %,"2,773,019,936",
Paraguay,1955,"1,673,665",2.58 %,"40,082","-15,874",16.2,6.50,4,35.1 %,"586,668",0.06 %,"2,773,019,936",
Hong Kong,1955,"2,472,658",4.61 %,"99,732","29,848",24.0,4.44,"2,355",85.8 %,"2,121,568",0.09 %,"2,773,019,936",
Sierra Leone,1955,"2,165,815",1.19 %,"24,922",0,20.9,6.03,30,14.7 %,"319,261",0.08 %,"2,773,019,936",
Switzerland,1955,"4,957,066",1.21 %,"57,796","23,807",33.0,2.31,125,69.3 %,"3,436,960",0.18 %,"2,773,019,936",
Togo,1955,"1,473,839",1.10 %,"15,676","-9,384",18.9,6.33,27,6.7 %,"98,676",0.05 %,"2,773,019,936",
Israel,1955,"1,691,878",6.11 %,"86,781","47,374",24.6,4.28,78,72.1 %,"1,220,460",0.06 %,"2,773,019,936",
Serbia,1955,"7,234,922",1.45 %,"100,533","7,041",26.5,3.22,83,24.4 %,"1,766,738",0.26 %,"2,773,019,936",
Papua New Guinea,1955,"2,086,247",0.83 %,"16,820","-2,465",19.5,6.24,5,2.2 %,"46,008",0.08 %,"2,773,019,936",
Austria,1955,"6,953,406",0.05 %,"3,393","-15,600",35.1,2.10,84,64.2 %,"4,461,298",0.25 %,"2,773,019,936",
Belarus,1955,"7,747,210",0.01 %,442,"-77,636",27.7,2.61,38,29.1 %,"2,251,572",0.28 %,"2,773,019,936",
Honduras,1955,"1,771,352",2.75 %,"44,926",-400,17.9,7.50,16,20.0 %,"354,938",0.06 %,"2,773,019,936",
United Arab Emirates,1955,"79,578",2.72 %,"1,998",-28,18.4,6.97,1,64.6 %,"51,385",0.00 %,"2,773,019,936",
Tajikistan,1955,"1,794,416",3.22 %,"52,583","11,672",22.4,5.40,13,31.2 %,"560,602",0.06 %,"2,773,019,936",
Hungary,1955,"9,828,494",1.03 %,"98,154","4,951",30.8,2.69,109,54.4 %,"5,350,076",0.35 %,"2,773,019,936",
Sweden,1955,"7,262,623",0.71 %,"50,542","10,410",35.1,2.24,18,69.3 %,"5,030,711",0.26 %,"2,773,019,936",
Azerbaijan,1955,"3,329,387",2.60 %,"80,293",0,22.1,5.20,40,50.0 %,"1,665,547",0.12 %,"2,773,019,936",
Portugal,1955,"8,625,532",0.49 %,"41,713","-61,475",27.3,3.10,94,33.1 %,"2,857,954",0.31 %,"2,773,019,936",
Jordan,1955,"682,968",7.25 %,"40,329","24,619",17.6,7.38,8,43.2 %,"295,260",0.02 %,"2,773,019,936",
Greece,1955,"8,011,124",0.88 %,"68,466","-14,002",26.9,2.48,62,54.1 %,"4,332,425",0.29 %,"2,773,019,936",
Czech Republic (Czechia),1955,"9,361,772",1.01 %,"91,831","11,999",32.2,2.74,121,56.9 %,"5,325,369",0.34 %,"2,773,019,936",
Dominican Republic,1955,"2,781,336",3.30 %,"83,336","-3,791",16.8,7.60,58,26.8 %,"746,422",0.10 %,"2,773,019,936",
South Sudan,1955,"2,619,712",1.08 %,"27,482",0,18.9,6.65,4,9.1 %,"239,670",0.09 %,"2,773,019,936",
Cuba,1955,"6,539,454",2.01 %,"123,892","-6,000",22.4,4.15,61,57.5 %,"3,757,473",0.24 %,"2,773,019,936",
Haiti,1955,"3,514,074",1.76 %,"58,558","-6,000",20.0,6.30,128,13.8 %,"484,645",0.13 %,"2,773,019,936",
Belgium,1955,"8,887,274",0.57 %,"49,951","10,742",34.6,2.37,294,92.0 %,"8,174,277",0.32 %,"2,773,019,936",
Tunisia,1955,"3,943,540",1.81 %,"67,647","-3,733",19.4,6.65,25,35.2 %,"1,389,870",0.14 %,"2,773,019,936",
Burundi,1955,"2,537,157",1.90 %,"45,647","-13,989",18.9,6.80,99,1.9 %,"48,001",0.09 %,"2,773,019,936",
Bolivia,1955,"3,331,036",1.57 %,"49,841","-4,772",19.8,6.50,3,35.7 %,"1,187,684",0.12 %,"2,773,019,936",
Guinea,1955,"3,229,649",1.40 %,"43,340",0,20.8,6.00,13,8.6 %,"278,619",0.12 %,"2,773,019,936",
Rwanda,1955,"2,527,294",2.94 %,"68,222",0,17.5,8.00,102,2.3 %,"59,211",0.09 %,"2,773,019,936",
Benin,1955,"2,303,587",0.43 %,"9,672","-4,600",22.3,5.86,20,6.8 %,"156,746",0.08 %,"2,773,019,936",
Zimbabwe,1955,"3,213,286",3.19 %,"93,287",-901,18.1,6.80,8,11.5 %,"371,106",0.12 %,"2,773,019,936",
Somalia,1955,"2,491,542",1.93 %,"45,492",0,19.2,7.25,4,14.9 %,"370,572",0.09 %,"2,773,019,936",
Chad,1955,"2,735,198",1.80 %,"46,576",0,20.7,6.10,2,5.5 %,"150,299",0.10 %,"2,773,019,936",
Cambodia,1955,"5,045,288",2.62 %,"122,515",0,17.9,6.95,29,10.2 %,"516,753",0.18 %,"2,773,019,936",
Netherlands,1955,"10,709,630",1.30 %,"133,517","-16,986",28.5,3.05,318,58.0 %,"6,209,436",0.39 %,"2,773,019,936",
Syria,1955,"3,911,501",2.76 %,"99,634","-14,000",18.8,7.23,21,34.7 %,"1,358,205",0.14 %,"2,773,019,936",
Senegal,1955,"2,808,225",2.46 %,"64,318","6,607",18.6,6.80,15,20.0 %,"560,479",0.10 %,"2,773,019,936",
Ecuador,1955,"3,956,620",2.66 %,"97,292",-400,19.3,6.75,16,31.0 %,"1,227,169",0.14 %,"2,773,019,936",
Guatemala,1955,"3,625,300",3.08 %,"102,069",-573,17.8,7.12,34,28.0 %,"1,014,803",0.13 %,"2,773,019,936",
Zambia,1955,"2,644,976",2.74 %,"66,907",0,17.4,6.70,4,14.5 %,"382,236",0.10 %,"2,773,019,936",
Kazakhstan,1955,"7,932,521",3.43 %,"245,906","102,236",23.3,4.41,3,40.7 %,"3,231,136",0.29 %,"2,773,019,936",
Chile,1955,"7,322,652",2.10 %,"144,826","-24,791",20.7,4.85,10,59.7 %,"4,368,840",0.26 %,"2,773,019,936",
Malawi,1955,"3,270,548",2.06 %,"63,335",0,17.7,6.85,35,3.9 %,"127,621",0.12 %,"2,773,019,936",
Romania,1955,"17,483,935",1.49 %,"249,528",-400,27.2,3.06,76,30.6 %,"5,353,421",0.63 %,"2,773,019,936",
Mali,1955,"4,975,398",1.11 %,"53,394","-7,006",20.1,6.95,4,9.7 %,"482,207",0.18 %,"2,773,019,936",
Burkina Faso,1955,"4,517,155",1.06 %,"46,539","-20,432",19.4,6.10,17,4.2 %,"191,862",0.16 %,"2,773,019,936",
Sri Lanka,1955,"8,778,438",1.95 %,"161,468","-3,300",20.0,5.80,140,15.6 %,"1,373,606",0.32 %,"2,773,019,936",
Taiwan,1955,"9,189,972",3.87 %,"317,522","19,000",17.9,6.72,260,28.5 %,"2,623,092",0.33 %,"2,773,019,936",
Niger,1955,"2,955,541",2.92 %,"79,168","1,000",15.6,7.30,2,5.3 %,"156,807",0.11 %,"2,773,019,936",
North Korea,1955,"10,086,991",-0.89 %,"-92,496","-113,683",19.1,3.46,84,35.5 %,"3,577,106",0.36 %,"2,773,019,936",
Australia,1955,"9,165,707",2.31 %,"197,673","79,201",30.2,3.18,1,79.7 %,"7,309,544",0.33 %,"2,773,019,936",
Côte d'Ivoire,1955,"3,004,421",2.70 %,"74,857","13,876",18.8,7.45,9,13.2 %,"397,478",0.11 %,"2,773,019,936",
Cameroon,1955,"4,706,995",1.79 %,"79,994",0,20.4,5.49,10,11.4 %,"537,904",0.17 %,"2,773,019,936",
Madagascar,1955,"4,543,542",2.16 %,"91,998",0,20.2,7.30,8,9.1 %,"414,442",0.16 %,"2,773,019,936",
Venezuela,1955,"6,744,695",4.23 %,"252,543","44,015",17.3,6.46,8,54.7 %,"3,687,084",0.24 %,"2,773,019,936",
Nepal,1955,"9,316,916",1.89 %,"166,718","-8,112",20.2,5.96,65,3.0 %,"283,756",0.34 %,"2,773,019,936",
Ghana,1955,"5,730,594",2.62 %,"138,890","12,000",17.6,6.44,25,18.9 %,"1,084,305",0.21 %,"2,773,019,936",
Yemen,1955,"4,965,574",1.27 %,"60,858","-10,000",18.9,7.80,9,7.0 %,"347,047",0.18 %,"2,773,019,936",
Mozambique,1955,"6,508,398",1.78 %,"109,886","-4,700",19.2,6.34,8,6.3 %,"411,022",0.23 %,"2,773,019,936",
Malaysia,1955,"7,038,913",2.87 %,"185,800","-3,436",18.5,6.35,21,23.4 %,"1,648,504",0.25 %,"2,773,019,936",
Angola,1955,"5,043,247",2.09 %,"99,045",0,19.6,6.00,4,9.0 %,"455,428",0.18 %,"2,773,019,936",
Peru,1955,"8,858,389",2.64 %,"216,189","-3,100",18.7,6.95,7,43.5 %,"3,856,003",0.32 %,"2,773,019,936",
Uzbekistan,1955,"7,277,333",3.04 %,"202,655","34,444",23.6,5.30,17,31.7 %,"2,305,364",0.26 %,"2,773,019,936",
Saudi Arabia,1955,"3,558,155",2.65 %,"87,364","5,258",18.8,7.18,2,26.0 %,"923,917",0.13 %,"2,773,019,936",
Morocco,1955,"10,502,666",3.17 %,"303,335",0,19.2,6.61,24,27.7 %,"2,913,419",0.38 %,"2,773,019,936",
