title,year,genre,public_permission,duration_hr,duration_min,noted_imdb,movie_poster,play_trailer,movie_url
The Prestige,2006,Drama,PG-13,2,10,8.5,https://www.imdb.com/title/tt0482571/mediaviewer/rm4031813632/?ref_=tt_ov_i,https://www.imdb.com/video/vi2885334553?playlistId=tt0482571&ref_=tt_ov_vi,https://www.imdb.com/title/tt0482571/
Good Will Hunting,1997,Drama,R,2,6,8.3,https://www.imdb.com/title/tt0119217/mediaviewer/rm1765736448/?ref_=tt_ov_i,https://www.imdb.com/video/vi1281211929?playlistId=tt0119217&ref_=tt_ov_vi,https://www.imdb.com/title/tt0119217/
The Matrix,1999,Action,R,2,16,8.7,https://www.imdb.com/title/tt0133093/mediaviewer/rm525547776/?ref_=tt_ov_i,https://www.imdb.com/video/vi1032782617?playlistId=tt0133093&ref_=tt_ov_vi,https://www.imdb.com/title/tt0133093/
Her,2013,Drama,R,2,6,8.0,https://www.imdb.com/title/tt1798709/mediaviewer/rm1539299328/?ref_=tt_ov_i,https://www.imdb.com/video/vi4112492569?playlistId=tt1798709&ref_=tt_ov_vi,https://www.imdb.com/title/tt1798709/
Edward Scissorhands,1990,Drama,PG-13,1,45,7.9,https://www.imdb.com/title/tt0099487/mediaviewer/rm4003535361/?ref_=tt_ov_i,https://www.imdb.com/video/vi3651404057?playlistId=tt0099487&ref_=tt_ov_vi,https://www.imdb.com/title/tt0099487/
The Shining,1980,Drama,R,2,26,8.4,https://www.imdb.com/title/tt0081505/mediaviewer/rm3901111552/?ref_=tt_ov_i,https://www.imdb.com/video/vi2689121305?playlistId=tt0081505&ref_=tt_ov_vi,https://www.imdb.com/title/tt0081505/
The Silence of the Lambs,1991,Crime,R,1,58,8.6,https://www.imdb.com/title/tt0102926/mediaviewer/rm3242988544/?ref_=tt_ov_i,https://www.imdb.com/video/vi3377380121?playlistId=tt0102926&ref_=tt_ov_vi,https://www.imdb.com/title/tt0102926/
Boogie Nights,1997,Drama,R,2,35,7.9,https://www.imdb.com/title/tt0118749/mediaviewer/rm2984137216/?ref_=tt_ov_i,https://www.imdb.com/video/vi2797386265?playlistId=tt0118749&ref_=tt_ov_vi,https://www.imdb.com/title/tt0118749/
Kingsman: The Secret Service,2014,Action,R,2,9,7.7,https://www.imdb.com/title/tt2802144/mediaviewer/rm1450692609/?ref_=tt_ov_i,https://www.imdb.com/video/vi1901244185?playlistId=tt2802144&ref_=tt_ov_vi,https://www.imdb.com/title/tt2802144/
Scarface,1983,Crime,R,2,50,8.3,https://www.imdb.com/title/tt0086250/mediaviewer/rm512766208/?ref_=tt_ov_i,https://www.imdb.com/video/vi3939802137?playlistId=tt0086250&ref_=tt_ov_vi,https://www.imdb.com/title/tt0086250/
Harry Potter and the Deathly Hallows: Part 2,2011,Adventure,PG-13,2,10,8.1,https://www.imdb.com/title/tt1201607/mediaviewer/rm3179585537/?ref_=tt_ov_i,https://www.imdb.com/video/vi128621593?playlistId=tt1201607&ref_=tt_ov_vi,https://www.imdb.com/title/tt1201607/
Platoon,1986,Drama,R,2,,8.1,https://www.imdb.com/title/tt0091763/mediaviewer/rm4193170689/?ref_=tt_ov_i,https://www.imdb.com/video/vi212245529?playlistId=tt0091763&ref_=tt_ov_vi,https://www.imdb.com/title/tt0091763/
Tombstone,1993,Biography,R,2,10,7.8,https://www.imdb.com/title/tt0108358/mediaviewer/rm2107331584/?ref_=tt_ov_i,https://www.imdb.com/title/tt0108358/,https://www.imdb.com/title/tt0108358/
Deadpool,2016,Action,R,1,48,8.0,https://www.imdb.com/title/tt1431045/mediaviewer/rm351021568/?ref_=tt_ov_i,https://www.imdb.com/video/vi567457049?playlistId=tt1431045&ref_=tt_ov_vi,https://www.imdb.com/title/tt1431045/
The Princess Bride,1987,Adventure,PG,1,38,8.0,https://www.imdb.com/title/tt0093779/mediaviewer/rm3845855233/?ref_=tt_ov_i,https://www.imdb.com/video/vi1571095833?playlistId=tt0093779&ref_=tt_ov_vi,https://www.imdb.com/title/tt0093779/
Stand by Me,1986,Adventure,R,1,29,8.1,https://www.imdb.com/title/tt0092005/mediaviewer/rm3808838912/?ref_=tt_ov_i,https://www.imdb.com/video/vi2284829721?playlistId=tt0092005&ref_=tt_ov_vi,https://www.imdb.com/title/tt0092005/
Ghostbusters,1984,Action,PG,1,45,7.8,https://www.imdb.com/title/tt0087332/mediaviewer/rm1280169216/?ref_=tt_ov_i,https://www.imdb.com/video/vi2800593945?playlistId=tt0087332&ref_=tt_ov_vi,https://www.imdb.com/title/tt0087332/
Harry Potter and the Goblet of Fire,2005,Adventure,PG-13,2,37,7.7,https://www.imdb.com/title/tt0330373/mediaviewer/rm436509952/?ref_=tt_ov_i,https://www.imdb.com/video/vi2611740953?playlistId=tt0330373&ref_=tt_ov_vi,https://www.imdb.com/title/tt0330373/
Blue Velvet,1986,Crime,R,2,,7.7,https://www.imdb.com/title/tt0090756/mediaviewer/rm2221104128/?ref_=tt_ov_i,https://www.imdb.com/video/vi438091289?playlistId=tt0090756&ref_=tt_ov_vi,https://www.imdb.com/title/tt0090756/
Bohemian Rhapsody,2018,Biography,PG-13,2,14,7.9,https://www.imdb.com/title/tt1727824/mediaviewer/rm2666152448/?ref_=tt_ov_i,https://www.imdb.com/video/vi1451538969?playlistId=tt1727824&ref_=tt_ov_vi,https://www.imdb.com/title/tt1727824/
The Breakfast Club,1985,Comedy,R,1,37,7.8,https://www.imdb.com/title/tt0088847/mediaviewer/rm2988051200/?ref_=tt_ov_i,https://www.imdb.com/video/vi2071703065?playlistId=tt0088847&ref_=tt_ov_vi,https://www.imdb.com/title/tt0088847/
The Martian,2015,Adventure,PG-13,2,24,8.0,https://www.imdb.com/title/tt3659388/mediaviewer/rm1391324160/?ref_=tt_ov_i,https://www.imdb.com/video/vi113423129?playlistId=tt3659388&ref_=tt_ov_vi,https://www.imdb.com/title/tt3659388/
Argo,2012,Biography,R,2,,7.7,https://www.imdb.com/title/tt1024648/mediaviewer/rm382620160/?ref_=tt_ov_i,https://www.imdb.com/video/vi1537319449?playlistId=tt1024648&ref_=tt_ov_vi,https://www.imdb.com/title/tt1024648/
Unforgiven,1992,Drama,R,2,10,8.2,https://www.imdb.com/title/tt0105695/mediaviewer/rm3707832320/?ref_=tt_ov_i,https://www.imdb.com/video/vi3445406489?playlistId=tt0105695&ref_=tt_ov_vi,https://www.imdb.com/title/tt0105695/
The Father,2020,Drama,PG-13,1,37,8.3,https://www.imdb.com/title/tt10272386/mediaviewer/rm525706753/?ref_=tt_ov_i,https://www.imdb.com/video/vi279101721?playlistId=tt10272386&ref_=tt_ov_vi,https://www.imdb.com/title/tt10272386/
Raiders of the Lost Ark,1981,Action,PG,1,55,8.4,https://www.imdb.com/title/tt0082971/mediaviewer/rm1612744448/?ref_=tt_ov_i,https://www.imdb.com/video/vi3747396377?playlistId=tt0082971&ref_=tt_ov_vi,https://www.imdb.com/title/tt0082971/
The Usual Suspects,1995,Crime,R,1,46,8.5,https://www.imdb.com/title/tt0114814/mediaviewer/rm1975465472/?ref_=tt_ov_i,https://www.imdb.com/video/vi2717188377?playlistId=tt0114814&ref_=tt_ov_vi,https://www.imdb.com/title/tt0114814/
Oldeuboi,2003,Action,R,2,,8.4,https://www.imdb.com/title/tt0364569/mediaviewer/rm1299029248/?ref_=tt_ov_i,https://www.imdb.com/video/vi3130917145?playlistId=tt0364569&ref_=tt_ov_vi,https://www.imdb.com/title/tt0364569/
Sen to Chihiro no kamikakushi,2001,Animation,PG,2,5,8.6,https://www.imdb.com/title/tt0245429/mediaviewer/rm4207852801/?ref_=tt_ov_i,https://www.imdb.com/video/vi3619684633?playlistId=tt0245429&ref_=tt_ov_vi,https://www.imdb.com/title/tt0245429/
Apocalypto,2006,Action,R,2,19,7.8,https://www.imdb.com/title/tt0472043/mediaviewer/rm2283733504/?ref_=tt_ov_i,https://www.imdb.com/video/vi2488730649?playlistId=tt0472043&ref_=tt_ov_vi,https://www.imdb.com/title/tt0472043/
One Flew Over the Cuckoo's Nest,1975,Drama,R,2,13,8.7,https://www.imdb.com/title/tt0073486/mediaviewer/rm2186479360/?ref_=tt_ov_i,https://www.imdb.com/video/vi3943282969?playlistId=tt0073486&ref_=tt_ov_vi,https://www.imdb.com/title/tt0073486/
Hamilton,2020,Biography,PG-13,2,40,8.4,https://www.imdb.com/title/tt8503618/mediaviewer/rm1749789441/?ref_=tt_ov_i,https://www.imdb.com/video/vi3591880217?playlistId=tt8503618&ref_=tt_ov_vi,https://www.imdb.com/title/tt8503618/
The Big Lebowski,1998,Comedy,R,1,57,8.1,https://www.imdb.com/title/tt0118715/mediaviewer/rm318364928/?ref_=tt_ov_i,https://www.imdb.com/video/vi4018733337?playlistId=tt0118715&ref_=tt_ov_vi,https://www.imdb.com/title/tt0118715/
Kill Bill: Vol. 1,2003,Action,R,1,51,8.2,https://www.imdb.com/title/tt0266697/mediaviewer/rm2033140224/?ref_=tt_ov_i,https://www.imdb.com/video/vi3102711321?playlistId=tt0266697&ref_=tt_ov_vi,https://www.imdb.com/title/tt0266697/
Skyfall,2012,Action,PG-13,2,23,7.8,https://www.imdb.com/title/tt1074638/mediaviewer/rm2254713344/?ref_=tt_ov_i,https://www.imdb.com/video/vi973841433?playlistId=tt1074638&ref_=tt_ov_vi,https://www.imdb.com/title/tt1074638/
The Irishman,2019,Biography,R,3,29,7.8,https://www.imdb.com/title/tt1302006/mediaviewer/rm2556990465/?ref_=tt_ov_i,https://www.imdb.com/video/vi2244525849?playlistId=tt1302006&ref_=tt_ov_vi,https://www.imdb.com/title/tt1302006/
Mulholland Dr.,2001,Drama,R,2,27,7.9,https://www.imdb.com/title/tt0166924/mediaviewer/rm3964200449/?ref_=tt_ov_i,https://www.imdb.com/video/vi4266178073?playlistId=tt0166924&ref_=tt_ov_vi,https://www.imdb.com/title/tt0166924/
Love Actually,2003,Comedy,R,2,15,7.6,https://www.imdb.com/title/tt0314331/mediaviewer/rm3436419328/?ref_=tt_ov_i,https://www.imdb.com/video/vi3838289945?playlistId=tt0314331&ref_=tt_ov_vi,https://www.imdb.com/title/tt0314331/
Mission: Impossible - Fallout,2018,Action,PG-13,2,27,7.7,https://www.imdb.com/title/tt4912910/mediaviewer/rm1408844288/?ref_=tt_ov_i,https://www.imdb.com/video/vi2629352217?playlistId=tt4912910&ref_=tt_ov_vi,https://www.imdb.com/title/tt4912910/
E.T. the Extra-Terrestrial,1982,Adventure,PG,1,55,7.9,https://www.imdb.com/title/tt0083866/mediaviewer/rm1993282560/?ref_=tt_ov_i,https://www.imdb.com/video/vi3090130201?playlistId=tt0083866&ref_=tt_ov_vi,https://www.imdb.com/title/tt0083866/
Ratatouille,2007,Animation,G,1,51,8.1,https://www.imdb.com/title/tt0382932/mediaviewer/rm937921792/?ref_=tt_ov_i,https://www.imdb.com/video/vi906147865?playlistId=tt0382932&ref_=tt_ov_vi,https://www.imdb.com/title/tt0382932/
"O Brother, Where Art Thou?",2000,Adventure,PG-13,1,47,7.7,https://www.imdb.com/title/tt0190590/mediaviewer/rm1839878400/?ref_=tt_ov_i,https://www.imdb.com/video/vi4246453785?playlistId=tt0190590&ref_=tt_ov_vi,https://www.imdb.com/title/tt0190590/
Logan,2017,Action,R,2,17,8.1,https://www.imdb.com/title/tt3315342/mediaviewer/rm2555988736/?ref_=tt_ov_i,https://www.imdb.com/video/vi1946727961?playlistId=tt3315342&ref_=tt_ov_vi,https://www.imdb.com/title/tt3315342/
Shrek,2001,Animation,PG,1,30,7.9,https://www.imdb.com/title/tt0126029/mediaviewer/rm955136512/?ref_=tt_ov_i,https://www.imdb.com/video/vi4085711129?playlistId=tt0126029&ref_=tt_ov_vi,https://www.imdb.com/title/tt0126029/
Moneyball,2011,Biography,PG-13,2,13,7.6,https://www.imdb.com/title/tt1210166/mediaviewer/rm330480640/?ref_=tt_ov_i,https://www.imdb.com/video/vi3229326361?playlistId=tt1210166&ref_=tt_ov_vi,https://www.imdb.com/title/tt1210166/
Die Hard,1988,Action,R,2,12,8.2,https://www.imdb.com/title/tt0095016/mediaviewer/rm270892032/?ref_=tt_ov_i,https://www.imdb.com/video/vi3895704089?playlistId=tt0095016&ref_=tt_ov_vi,https://www.imdb.com/title/tt0095016/
District 9,2009,Action,R,1,52,7.9,https://www.imdb.com/title/tt1136608/mediaviewer/rm1295129344/?ref_=tt_ov_i,https://www.imdb.com/video/vi3896050201?playlistId=tt1136608&ref_=tt_ov_vi,https://www.imdb.com/title/tt1136608/
The Wizard of Oz,1939,Adventure,G,1,42,8.1,https://www.imdb.com/title/tt0032138/mediaviewer/rm103009280/?ref_=tt_ov_i,https://www.imdb.com/video/vi2210441241?playlistId=tt0032138&ref_=tt_ov_vi,https://www.imdb.com/title/tt0032138/
Green Book,2018,Biography,PG-13,2,10,8.2,https://www.imdb.com/title/tt6966692/mediaviewer/rm2461296640/?ref_=tt_ov_i,https://www.imdb.com/video/vi824752921?playlistId=tt6966692&ref_=tt_ov_vi,https://www.imdb.com/title/tt6966692/
A Few Good Men,1992,Drama,R,2,18,7.7,https://www.imdb.com/title/tt0104257/mediaviewer/rm3991866880/?ref_=tt_ov_i,https://www.imdb.com/video/vi2142503193?playlistId=tt0104257&ref_=tt_ov_vi,https://www.imdb.com/title/tt0104257/
Amadeus,1984,Biography,PG,2,40,8.4,https://www.imdb.com/title/tt0086879/mediaviewer/rm3039435264/?ref_=tt_ov_i,https://www.imdb.com/video/vi2535496985?playlistId=tt0086879&ref_=tt_ov_vi,https://www.imdb.com/title/tt0086879/
Predator,1987,Action,R,1,47,7.8,https://www.imdb.com/title/tt0093773/mediaviewer/rm35588864/?ref_=tt_ov_i,https://www.imdb.com/video/vi1686176025?playlistId=tt0093773&ref_=tt_ov_vi,https://www.imdb.com/title/tt0093773/
Apollo 13,1995,Adventure,PG,2,20,7.7,https://www.imdb.com/title/tt0112384/mediaviewer/rm635378177/?ref_=tt_ov_i,https://www.imdb.com/video/vi1605828889?playlistId=tt0112384&ref_=tt_ov_vi,https://www.imdb.com/title/tt0112384/
How to Train Your Dragon,2010,Animation,PG,1,38,8.1,https://www.imdb.com/title/tt0892769/mediaviewer/rm2210040832/?ref_=tt_ov_i,https://www.imdb.com/video/vi1158218777?playlistId=tt0892769&ref_=tt_ov_vi,https://www.imdb.com/title/tt0892769/
Intouchables,2011,Biography,R,1,52,8.5,https://www.imdb.com/title/tt1675434/mediaviewer/rm1305720576/?ref_=tt_ov_i,https://www.imdb.com/video/vi59285529?playlistId=tt1675434&ref_=tt_ov_vi,https://www.imdb.com/title/tt1675434/
12 Years a Slave,2013,Biography,R,2,14,8.1,https://www.imdb.com/title/tt2024544/mediaviewer/rm3711556096/?ref_=tt_ov_i,https://www.imdb.com/video/vi302032921?playlistId=tt2024544&ref_=tt_ov_vi,https://www.imdb.com/title/tt2024544/
Brokeback Mountain,2005,Drama,R,2,14,7.7,https://www.imdb.com/title/tt0388795/mediaviewer/rm209033472/?ref_=tt_ov_i,https://www.imdb.com/video/vi3749225497?playlistId=tt0388795&ref_=tt_ov_vi,https://www.imdb.com/title/tt0388795/
The Exorcist,1973,Horror,R,2,2,8.1,https://www.imdb.com/title/tt0070047/mediaviewer/rm2744917505/?ref_=tt_ov_i,https://www.imdb.com/video/vi3987325721?playlistId=tt0070047&ref_=tt_ov_vi,https://www.imdb.com/title/tt0070047/
X: First Class,2011,Action,PG-13,2,11,7.7,https://www.imdb.com/title/tt1270798/mediaviewer/rm2522396672/?ref_=tt_ov_i,https://www.imdb.com/video/vi168926489?playlistId=tt1270798&ref_=tt_ov_vi,https://www.imdb.com/title/tt1270798/
"Three Billboards Outside Ebbing, Missouri",2017,Comedy,R,1,55,8.1,https://www.imdb.com/title/tt5027774/mediaviewer/rm3800849152/?ref_=tt_ov_i,https://www.imdb.com/video/vi3585980441?playlistId=tt5027774&ref_=tt_ov_vi,https://www.imdb.com/title/tt5027774/
La vita è bella,1997,Comedy,PG-13,1,56,8.6,https://www.imdb.com/title/tt0118799/mediaviewer/rm2303464448/?ref_=tt_ov_i,https://www.imdb.com/video/vi2332801561?playlistId=tt0118799&ref_=tt_ov_vi,https://www.imdb.com/title/tt0118799/
The Lord of the Rings: The Two Towers,2002,Action,PG-13,2,59,8.8,https://www.imdb.com/title/tt0167261/mediaviewer/rm306845440/?ref_=tt_ov_i,https://www.imdb.com/video/vi701350681?playlistId=tt0167261&ref_=tt_ov_vi,https://www.imdb.com/title/tt0167261/
Fargo,1996,Crime,R,1,38,8.1,https://www.imdb.com/title/tt0116282/mediaviewer/rm3153550848/?ref_=tt_ov_i,https://www.imdb.com/video/vi2228618777?playlistId=tt0116282&ref_=tt_ov_vi,https://www.imdb.com/title/tt0116282/
Star Wars: Episode VI - Return of the Jedi,1983,Action,PG,2,11,8.3,https://www.imdb.com/title/tt0086190/mediaviewer/rm602420224/?ref_=tt_ov_i,https://www.imdb.com/video/vi1702936345?playlistId=tt0086190&ref_=tt_ov_vi,https://www.imdb.com/title/tt0086190/
Birdman or (The Unexpected Virtue of Ignorance),2014,Comedy,R,1,59,7.7,https://www.imdb.com/title/tt2562232/mediaviewer/rm3926180864/?ref_=tt_ov_i,https://www.imdb.com/video/vi1378069529?playlistId=tt2562232&ref_=tt_ov_vi,https://www.imdb.com/title/tt2562232/
Inside Out,2015,Animation,PG,1,35,8.2,https://www.imdb.com/title/tt2096673/mediaviewer/rm3662344960/?ref_=tt_ov_i,https://www.imdb.com/video/vi203730969?playlistId=tt2096673&ref_=tt_ov_vi,https://www.imdb.com/title/tt2096673/
The Ten Commandments,1956,Adventure,G,3,40,7.9,https://www.imdb.com/title/tt0049833/mediaviewer/rm475465728/?ref_=tt_ov_i,https://www.imdb.com/video/vi511950873?playlistId=tt0049833&ref_=tt_ov_vi,https://www.imdb.com/title/tt0049833/
Salinui chueok,2003,Crime,Not Rated,2,11,8.1,https://www.imdb.com/title/tt0353969/mediaviewer/rm3245711617/?ref_=tt_ov_i,https://www.imdb.com/video/vi3468476697?playlistId=tt0353969&ref_=tt_ov_vi,https://www.imdb.com/title/tt0353969/
Coraline,2009,Animation,PG,1,40,7.7,https://www.imdb.com/title/tt0327597/mediaviewer/rm1274647808/?ref_=tt_ov_i,https://www.imdb.com/video/vi513934105?playlistId=tt0327597&ref_=tt_ov_vi,https://www.imdb.com/title/tt0327597/
