country_name,year,debt_to_gdp_ratio,growth_rate,population
Bhutan,1980,103.85%,3.15%,"787,941"
Bhutan,1975,103.85%,3.22%,"787,941"
Estonia,2022,7.61%,0.04%,"1,321,910"
Singapore,1980,109.37%,1.31%,"5,943,546"
Singapore,1975,109.37%,1.75%,"5,943,546"
Singapore,1970,109.37%,1.99%,"5,943,546"
Singapore,1965,109.37%,2.83%,"5,943,546"
Singapore,1960,109.37%,4.59%,"5,943,546"
Singapore,1955,109.37%,5.01%,"5,943,546"
Botswana,2022,12.78%,2.05%,"2,441,162"
Botswana,2021,12.78%,2.11%,"2,441,162"
United States,2000,106.70%,1.22%,"334,805,269"
United States,1995,106.70%,1.01%,"334,805,269"
United States,1990,106.70%,0.95%,"334,805,269"
United States,1985,106.70%,0.94%,"334,805,269"
United States,1980,106.70%,0.93%,"334,805,269"
United States,1975,106.70%,0.90%,"334,805,269"
Russia,2022,13.79%,0.04%,"145,805,947"
Russia,2021,13.79%,0.09%,"145,805,947"
Barbados,1990,117.27%,0.36%,"288,023"
Barbados,1985,117.27%,0.30%,"288,023"
Barbados,1980,117.27%,0.50%,"288,023"
Barbados,1975,117.27%,0.60%,"288,023"
Barbados,1970,117.27%,0.29%,"288,023"
Barbados,1965,117.27%,0.38%,"288,023"
Barbados,1960,117.27%,0.34%,"288,023"
DR Congo,2022,14.01%,3.19%,"95,240,792"
DR Congo,2021,14.01%,3.23%,"95,240,792"
Solomon Islands,2022,14.56%,2.54%,"721,159"
Solomon Islands,2021,14.56%,2.59%,"721,159"
Romania,1990,37.99%,0.36%,"19,031,335"
Romania,1985,37.99%,0.40%,"19,031,335"
Romania,1980,37.99%,0.86%,"19,031,335"
Romania,1975,37.99%,1.06%,"19,031,335"
Romania,1970,37.99%,1.18%,"19,031,335"
Romania,1965,37.99%,0.81%,"19,031,335"
Brunei,2022,2.63%,0.97%,"445,431"
Bahrain,1970,100.19%,2.55%,"1,783,983"
Bahrain,1965,100.19%,2.90%,"1,783,983"
Bahrain,1960,100.19%,3.99%,"1,783,983"
Bahrain,1955,100.19%,2.93%,"1,783,983"
Afghanistan,2022,6.88%,2.34%,"40,754,388"
Afghanistan,2021,6.88%,2.40%,"40,754,388"
Afghanistan,2020,6.88%,2.33%,"40,754,388"
Croatia,2015,70.73%,-0.44%,"4,059,286"
Croatia,2010,70.73%,-0.23%,"4,059,286"
Croatia,2005,70.73%,-0.23%,"4,059,286"
Croatia,2000,70.73%,-0.83%,"4,059,286"
Croatia,1995,70.73%,-0.68%,"4,059,286"
Croatia,1990,70.73%,0.25%,"4,059,286"
Cyprus,1980,101.04%,1.07%,"1,223,387"
Cyprus,1975,101.04%,1.15%,"1,223,387"
Cyprus,1970,101.04%,1.10%,"1,223,387"
Cyprus,1965,101.04%,0.28%,"1,223,387"
Cyprus,1960,101.04%,1.57%,"1,223,387"
Cyprus,1955,101.04%,1.42%,"1,223,387"
Bhutan,1970,103.85%,3.20%,"787,941"
Bhutan,1965,103.85%,2.61%,"787,941"
Bhutan,1960,103.85%,2.49%,"787,941"
Bhutan,1955,103.85%,2.23%,"787,941"
Estonia,2021,7.61%,0.13%,"1,321,910"
Estonia,2020,7.61%,0.07%,"1,321,910"
Estonia,2019,7.61%,0.21%,"1,321,910"
Estonia,2018,7.61%,0.27%,"1,321,910"
Estonia,2017,7.61%,0.22%,"1,321,910"
Estonia,2015,7.61%,-0.25%,"1,321,910"
Estonia,2010,7.61%,-0.35%,"1,321,910"
Estonia,2005,7.61%,-0.63%,"1,321,910"
Botswana,2020,12.78%,2.08%,"2,441,162"
Botswana,2019,12.78%,2.20%,"2,441,162"
Botswana,2018,12.78%,2.22%,"2,441,162"
Botswana,2017,12.78%,2.09%,"2,441,162"
Botswana,2015,12.78%,1.31%,"2,441,162"
Botswana,2010,12.78%,2.01%,"2,441,162"
Botswana,2005,12.78%,1.83%,"2,441,162"
Botswana,2000,12.78%,2.27%,"2,441,162"
United States,1970,106.70%,0.96%,"334,805,269"
United States,1965,106.70%,1.36%,"334,805,269"
United States,1960,106.70%,1.69%,"334,805,269"
United States,1955,106.70%,1.57%,"334,805,269"
Russia,2020,13.79%,0.04%,"145,805,947"
Russia,2019,13.79%,0.10%,"145,805,947"
Russia,2018,13.79%,0.14%,"145,805,947"
Russia,2017,13.79%,0.18%,"145,805,947"
Russia,2015,13.79%,0.21%,"145,805,947"
Russia,2010,13.79%,-0.03%,"145,805,947"
Barbados,1955,117.27%,1.49%,"288,023"
DR Congo,2020,14.01%,3.19%,"95,240,792"
DR Congo,2019,14.01%,3.24%,"95,240,792"
DR Congo,2018,14.01%,3.28%,"95,240,792"
DR Congo,2017,14.01%,3.31%,"95,240,792"
DR Congo,2015,14.01%,3.38%,"95,240,792"
DR Congo,2010,14.01%,3.34%,"95,240,792"
Solomon Islands,2020,14.56%,2.55%,"721,159"
Solomon Islands,2019,14.56%,2.60%,"721,159"
Solomon Islands,2018,14.56%,2.64%,"721,159"
Solomon Islands,2017,14.56%,2.68%,"721,159"
Solomon Islands,2015,14.56%,2.70%,"721,159"
Solomon Islands,2010,14.56%,2.35%,"721,159"
Solomon Islands,2005,14.56%,2.63%,"721,159"
Solomon Islands,2000,14.56%,2.81%,"721,159"
Solomon Islands,1995,14.56%,2.87%,"721,159"
Romania,1960,37.99%,1.26%,"19,031,335"
Romania,1955,37.99%,1.49%,"19,031,335"
Brunei,2021,2.63%,1.01%,"445,431"
Brunei,2020,2.63%,0.97%,"445,431"
Brunei,2019,2.63%,1.01%,"445,431"
Brunei,2018,2.63%,1.06%,"445,431"
Brunei,2017,2.63%,1.11%,"445,431"
Brunei,2015,2.63%,1.32%,"445,431"
Afghanistan,2019,6.88%,2.34%,"40,754,388"
Afghanistan,2018,6.88%,2.41%,"40,754,388"
Afghanistan,2017,6.88%,2.58%,"40,754,388"
Afghanistan,2015,6.88%,3.35%,"40,754,388"
Afghanistan,2010,6.88%,2.61%,"40,754,388"
Croatia,1985,70.73%,0.51%,"4,059,286"
Croatia,1980,70.73%,0.43%,"4,059,286"
Croatia,1975,70.73%,0.35%,"4,059,286"
Azerbaijan,2022,17.59%,0.91%,"10,300,205"
Estonia,2000,7.61%,-0.48%,"1,321,910"
Estonia,1995,7.61%,-1.75%,"1,321,910"
Estonia,1990,7.61%,0.56%,"1,321,910"
Estonia,1985,7.61%,0.64%,"1,321,910"
Estonia,1980,7.61%,0.73%,"1,321,910"
Estonia,1975,7.61%,0.89%,"1,321,910"
Estonia,1970,7.61%,1.06%,"1,321,910"
Estonia,1965,7.61%,1.18%,"1,321,910"
Kuwait,2022,17.78%,1.55%,"4,380,326"
Kuwait,2021,17.78%,1.81%,"4,380,326"
Kuwait,2020,17.78%,1.51%,"4,380,326"
Micronesia,2022,18.41%,1.06%,"117,489"
United Arab Emirates,2022,19.20%,1.22%,"10,081,785"
United Arab Emirates,2021,19.20%,1.31%,"10,081,785"
United Arab Emirates,2020,19.20%,1.23%,"10,081,785"
United Arab Emirates,2019,19.20%,1.45%,"10,081,785"
United Arab Emirates,2018,19.20%,1.52%,"10,081,785"
United Arab Emirates,2017,19.20%,1.35%,"10,081,785"
Botswana,1995,12.78%,2.69%,"2,441,162"
Botswana,1990,12.78%,3.77%,"2,441,162"
Botswana,1985,12.78%,3.56%,"2,441,162"
Botswana,1980,12.78%,3.91%,"2,441,162"
Botswana,1975,12.78%,3.38%,"2,441,162"
Botswana,1970,12.78%,2.31%,"2,441,162"
Botswana,1965,12.78%,2.18%,"2,441,162"
Botswana,1960,12.78%,1.65%,"2,441,162"
Bulgaria,2022,19.33%,-0.74%,"6,844,597"
Bulgaria,2021,19.33%,-0.72%,"6,844,597"
Bulgaria,2020,19.33%,-0.74%,"6,844,597"
Bulgaria,2019,19.33%,-0.73%,"6,844,597"
Russia,2005,13.79%,-0.38%,"145,805,947"
Russia,2000,13.79%,-0.25%,"145,805,947"
Russia,1995,13.79%,0.09%,"145,805,947"
Russia,1990,13.79%,0.63%,"145,805,947"
Russia,1985,13.79%,0.70%,"145,805,947"
Russia,1980,13.79%,0.63%,"145,805,947"
Russia,1975,13.79%,0.56%,"145,805,947"
Kazakhstan,2022,20.90%,1.21%,"19,205,043"
Kazakhstan,2021,20.90%,1.27%,"19,205,043"
Kazakhstan,2020,20.90%,1.21%,"19,205,043"
DR Congo,2005,14.01%,3.07%,"95,240,792"
DR Congo,2000,14.01%,2.53%,"95,240,792"
DR Congo,1995,14.01%,3.74%,"95,240,792"
DR Congo,1990,14.01%,2.98%,"95,240,792"
DR Congo,1985,14.01%,2.54%,"95,240,792"
DR Congo,1980,14.01%,2.85%,"95,240,792"
DR Congo,1975,14.01%,2.74%,"95,240,792"
Solomon Islands,1990,14.56%,2.86%,"721,159"
Solomon Islands,1985,14.56%,3.27%,"721,159"
Solomon Islands,1980,14.56%,3.58%,"721,159"
Solomon Islands,1975,14.56%,3.83%,"721,159"
Solomon Islands,1970,14.56%,3.21%,"721,159"
Solomon Islands,1965,14.56%,3.03%,"721,159"
Solomon Islands,1960,14.56%,2.93%,"721,159"
Zimbabwe,2022,20.99%,1.49%,"15,331,428"
Zimbabwe,2021,20.99%,1.47%,"15,331,428"
Zimbabwe,2020,20.99%,1.49%,"15,331,428"
Zimbabwe,2019,20.99%,1.43%,"15,331,428"
Brunei,2010,2.63%,1.26%,"445,431"
Brunei,2005,2.63%,1.85%,"445,431"
Brunei,2000,2.63%,2.32%,"445,431"
Brunei,1995,2.63%,2.81%,"445,431"
Brunei,1990,2.63%,2.88%,"445,431"
Brunei,1985,2.63%,2.97%,"445,431"
Brunei,1980,2.63%,3.71%,"445,431"
Luxembourg,2022,21.61%,1.65%,"642,371"
Afghanistan,2005,6.88%,4.30%,"40,754,388"
Afghanistan,2000,6.88%,2.79%,"40,754,388"
Afghanistan,1995,6.88%,7.85%,"40,754,388"
Afghanistan,1990,6.88%,0.78%,"40,754,388"
Afghanistan,1985,6.88%,-2.22%,"40,754,388"
Afghanistan,1980,6.88%,1.03%,"40,754,388"
Afghanistan,1975,6.88%,2.58%,"40,754,388"
Afghanistan,1970,6.88%,2.33%,"40,754,388"
Croatia,1970,70.73%,0.43%,"4,059,286"
Croatia,1965,70.73%,0.64%,"4,059,286"
Croatia,1960,70.73%,0.79%,"4,059,286"
Croatia,1955,70.73%,0.92%,"4,059,286"
Azerbaijan,2021,17.59%,0.98%,"10,300,205"
Azerbaijan,2020,17.59%,0.91%,"10,300,205"
Azerbaijan,2019,17.59%,0.99%,"10,300,205"
Azerbaijan,2018,17.59%,1.06%,"10,300,205"
Azerbaijan,2017,17.59%,1.12%,"10,300,205"
Azerbaijan,2015,17.59%,1.27%,"10,300,205"
Azerbaijan,2010,17.59%,1.13%,"10,300,205"
Estonia,1960,7.61%,0.97%,"1,321,910"
Estonia,1955,7.61%,1.04%,"1,321,910"
Kuwait,2019,17.78%,1.69%,"4,380,326"
Kuwait,2018,17.78%,2.00%,"4,380,326"
Kuwait,2017,17.78%,2.51%,"4,380,326"
Kuwait,2015,17.78%,5.09%,"4,380,326"
Kuwait,2010,17.78%,5.68%,"4,380,326"
Kuwait,2005,17.78%,2.11%,"4,380,326"
Kuwait,2000,17.78%,4.95%,"4,380,326"
Micronesia,2021,18.41%,1.07%,"117,489"
Micronesia,2020,18.41%,1.06%,"117,489"
Micronesia,2019,18.41%,1.04%,"117,489"
Micronesia,2018,18.41%,1.06%,"117,489"
Micronesia,2017,18.41%,1.13%,"117,489"
Micronesia,2015,18.41%,1.14%,"117,489"
Micronesia,2010,18.41%,-0.61%,"117,489"
United Arab Emirates,2015,19.20%,1.62%,"10,081,785"
United Arab Emirates,2010,19.20%,13.26%,"10,081,785"
United Arab Emirates,2005,19.20%,7.92%,"10,081,785"
United Arab Emirates,2000,19.20%,5.35%,"10,081,785"
United Arab Emirates,1995,19.20%,5.72%,"10,081,785"
United Arab Emirates,1990,19.20%,6.00%,"10,081,785"
United Arab Emirates,1985,19.20%,6.03%,"10,081,785"
United Arab Emirates,1980,19.20%,13.21%,"10,081,785"
Botswana,1955,12.78%,2.35%,"2,441,162"
Bulgaria,2018,19.33%,-0.72%,"6,844,597"
Bulgaria,2017,19.33%,-0.69%,"6,844,597"
Bulgaria,2015,19.33%,-0.61%,"6,844,597"
Bulgaria,2010,19.33%,-0.69%,"6,844,597"
Bulgaria,2005,19.33%,-0.79%,"6,844,597"
Bulgaria,2000,19.33%,-0.93%,"6,844,597"
Bulgaria,1995,19.33%,-1.07%,"6,844,597"
Bulgaria,1990,19.33%,-0.30%,"6,844,597"
Russia,1970,13.79%,0.57%,"145,805,947"
Russia,1965,13.79%,1.08%,"145,805,947"
Russia,1960,13.79%,1.49%,"145,805,947"
Russia,1955,13.79%,1.61%,"145,805,947"
Kazakhstan,2019,20.90%,1.26%,"19,205,043"
Kazakhstan,2018,20.90%,1.32%,"19,205,043"
Kazakhstan,2017,20.90%,1.40%,"19,205,043"
Kazakhstan,2015,20.90%,1.57%,"19,205,043"
Kazakhstan,2010,20.90%,1.08%,"19,205,043"
Kazakhstan,2005,20.90%,0.64%,"19,205,043"
Kazakhstan,2000,20.90%,-1.19%,"19,205,043"
DR Congo,1970,14.01%,2.87%,"95,240,792"
DR Congo,1965,14.01%,2.64%,"95,240,792"
DR Congo,1960,14.01%,2.44%,"95,240,792"
DR Congo,1955,14.01%,2.10%,"95,240,792"
Solomon Islands,1955,14.56%,2.58%,"721,159"
Zimbabwe,2018,20.99%,1.42%,"15,331,428"
Zimbabwe,2017,20.99%,1.47%,"15,331,428"
Zimbabwe,2015,20.99%,1.70%,"15,331,428"
Zimbabwe,2010,20.99%,1.01%,"15,331,428"
