title,authors,subjects
"Goodnight Moon, 60th Anniversary Edition",Margaret Wise Brown,"Children's fiction,Picture books,Bedtime, fiction,Rabbits, fiction,Literature and fiction, juvenile,Rabbits,Stories in rhyme,Juvenile fiction,Moon in fiction,Board books,Hora de acostarse,Fiction,Bedtime in fiction,Rabbits in fiction,Ficción juvenil,Sleep,Bedtime,Night,Libros de láminas,Picture books for children,Spanish language materials,Specimens,Bilingual,Hmong language materials,Conejos,Bedtime & Dreams,Words,Concepts,Classics,JUVENILE FICTION,Moon, fiction,Night, fiction,Counting books,Children's literature, history and criticism,Authorship, juvenile literature,Authorship,Large type books,Toy and movable books,Short stories,Accessible book,Protected DAISY"
The Tailor of Gloucester,H y Xiao Phd,"Cats,Children's stories, English,Christmas,Christmas stories,Ficción juvenil,Fiction,Juvenile fiction,Mice,Ratones,Tailors,Children's fiction,Rabbits, fiction,Tailors, fiction,Literature and fiction, juvenile,Picture books,Schneider,Hausmaus,Puss in Boots (Tale),Pictorial works,Accessible book"
The Gruffalo,Julia Donaldson,"Animals,Juvenile fiction,Fiction,Stories in rhyme,Mice,Children’s Picture Books,Children: Kindergarten,Children's fiction,Mice, fiction,Monsters, fiction,Animals, fiction,Puzzles,Puzzles, juvenile literature,Pictorial works,Child and youth fiction,Picture books,Gruffalo (Fictitious character),Tricksters,Monsters,Animales-,Cuentos-,Libros infantiles,Lengua inglesa-,Libros infantiles y juveniles,Lecturas-,Ingelesa-,Haur eta gazteentzako liburuak,Irakurgaiak-,Accessible book,Protected DAISY"
Make Way for Ducklings,Robert McCloskey,"Juvenile fiction,Fiction,Picture books for children,Ducks,Braille,Caldecott Medal,Children's stories,Japanese language books,Picture books,ducklings,illustration,kid's books,Caldecott medal book,Big books,Oversize books,Specimens,Blind,Books and reading,Animals,Family,Ducks, Geese,3.1.,Caldecott Medal books,Classics,Accelerated Reader,Children's fiction,Ducks, fiction,Boston (mass.), fiction,Accelerated Reader - 3.1.,Family life,Children's stories, American,Harmonica,Children's audiobooks,Audiobooks,Short stories,Patos,Ficción juvenil,Spanish language materials,Reading materials,City & Town Life,Spanish language,Novela juvenil,Legends, Myths, Fables,collectionID:caldecott40,Accessible book,Protected DAISY"
La Petite Sirene (French Well Loved Tales),Bernadette Watts,"Contes danois,Fairy tales,Mermaids,Fiction,Children's stories, Danish,Translations into English,Coloring books,Translations into Russian,Children's audiobooks,Translations into Marathi,Fairytales,Juvenile fiction,Tales,Plays,Children's plays,Children's fiction,Mermaids, fiction,Children's stories, English,Musical books,Sound effects books,Specimens,Picture puzzles,Toy and movable books,Picture books,Hans Christian Anderson (1805-1875),Easy reading,Kids,Children,Children's,Juvenile,Books,Picture Books,Stories,Folklore,Fables,Fantasy,Accessible book,Protected DAISY"
Green Eggs and Ham,Dr. Seuss,"1960-1988,Dr. Seuss,Beginner Books,I Can Read It All By Myself,Green Eggs and Ham,Audio-Cassette included,First time readers,English,2-3 years,Pre-school,Children's,Stories,Books,In rhymes,Rhyming,Fiction,Juvenile Fiction,Picture books,Food,Eggs,Ham,Food habits,Open Library Staff Picks,Nonsense verses,Specimens,Children's fiction,Humorous stories,Stories in rhyme,Food, fiction,Large type books,Latin language,Readers,Latin language materials,Food preferences,Children's stories,Juvenile poetry,Vocabulary,Classics,Reader,Beginner,PICTURE LIONS,Jig Story,4,Jigsaw,Puzzles,20,Activities,Chamber music,Accessible book,Protected DAISY"
Little Bear,Maurice Sendak,"Mothers and sons,Madres e hijos,Little Bear (Fictitious character : Minarik),Bears,Juvenile literature,Fiction,Osos,Ficción juvenil,Children's stories,Friendship,Juvenile fiction,Children's fiction,Bears, fiction,Mothers and sons, fiction,Little bear (fictitious character : minarik), fiction,Picture books,Reading list,Hockaday,Before kindergarten,Reading List,UP Elementary,Entering 2nd grade,Spanish language materials,Literature and fiction, juvenile,Accessible book,Protected DAISY"
Frog and Toad Together,Arnold Lobel,"amistad,animals,best friends,children's fiction,children's short stories in english,children's stories,classics,cookies,courage,dragons,easy books,emotions & feelings,ficción juvenil,fiction,friendship,frogs,frogs & toads,frogs, fiction,gardens,giants,humor & funny stories,juvenile audience,juvenile fiction,juvenile works,kindness,loyalty,newbery honor,sharing & cooperating,ouvrages pour la jeunesse,pictorial works,picture books,primary school,ranas,readers,sapos,sharing,short stories,social themes,Spanish language,toads,Children's fiction,Frogs, fiction,Picture books,Friendship,Juvenile fiction,Frogs,Toads,Fiction,JUVENILE FICTION,Animals,Frogs & Toads,Social Themes,Emotions & Feelings,Children's stories,Frog and toad (fictitious characters), fiction,Literature and fiction, juvenile,Accessible book,Protected DAISY"
Die schönsten Märchen,Jin-kyeong Lee,"Fairy tales,Fiction,Nightingale,Nightingales,Children's stories, Danish,Translations into Russian,Translations into English,Juvenile fiction,Cuentos de hadas,Ficción juvenil,Juvenile literature,Ruiseñores,Danish literature,Children's literature, Danish,Literature and fiction, juvenile,Nightingale in fiction,Nightingales in fiction,Monasticism and religious orders for women,Vocation (in religious orders, congregations, etc.),Children's fiction,Birds, fiction,Readers,Picture books,Picture books for children,Accessible book"
Corduroy,Don Freeman,"Chinese language materials,Corduroy (Fictitions character),Day,Department stores,Fiction,Juvenile fiction,Picture books,Teddy bears,Toys,Percussion instruments,Motor learning,Children's fiction,Toys, fiction,Corduroy (fictitious character), fiction,Bears, fiction,Fantasy,Corduroy (Fictitious character),Pictorial works,Juguetes,Bears,Osos,Ficción juvenil,Osos de felpa,Picture books for children,Spanish language materials,Friendship, fiction,Children's stories,Corduory(Fictitious character),Friendship,African American girls,Teddy bears, fiction,Department stores, fiction,Toy and movable books,Accessible book,Protected DAISY"
The emperor's new clothes,Stephanie True Peters,"Juvenile fiction,Fairy tales,Pride and vanity,Fiction,Polyglot texts, selections, quotations,Children's stories, Danish,Children: Preschool,Children's 4-8,Children's Books/Ages 4-8 Fiction,Classics,Non-Classifiable,Fairy Tales & Folklore - Single Title,Fairy Tales & Folklore - General,Aristocracy (Social class),Statesmen,Tailors,Emperors,Children's fiction,Kings, queens, rulers, etc., fiction,Behavior, fiction,Clothing and dress, fiction,Clothing and dress,Children's stories,Classic Fairy Tales,Tailors, fiction,Picture books,Danish Fairy tales,Spanish language materials,Translations into English,Comic and Graphic Books,Deception,Korean language materials,Accessible book,Protected DAISY"
Frederick,Leo Lionni,"Children's stories,Fairy tales,Juvenile fiction,Mice,Mice in fiction,Imagination,Sharing,Families,Winter,Fiction,Accelerated Reader 3.5.,Children's fiction,Picture books,Fiction, general,Turkish language materials,Mice, fiction,collectionID:caldecotthonor60,Spanish language materials,Ratones,Estaciones del año,Novela infantil,Accessible book,Protected DAISY"
Flat Stanley,Tony Ross,"Humorous stories,Art thieves,Juvenile fiction,Fiction,Stanley Lambchop (Fictitious character),Boys,Stanley Lambchop (Fictional character),Humorous fiction,Fantasy,Children's fiction,Boys, fiction,Bulletin boards,Picture books,Family life, fiction,Cooperation,Brothers,Children's stories,Problem children, fiction,Hermanos,Novela juvenil,Imagination,Fantasia,Imaginacion,Spanish language materials,Fantastique,Romans, nouvelles, etc. pour la jeunesse,Roman pour la jeunesse,Accessible book,Protected DAISY"
Frog and Toad All Year,Arnold Lobel,"accelerated reader,amistad,animals,children's fiction,children's stories,classics,comedy & humor,estaciones del año,ficción juvenil,fiction,friendship,frogs,frogs & toads,juvenile audience,juvenile fiction,juvenile works,novela juvenil,ranas,sapos,seasons,social themes,Spanish language materials,toads,Children's fiction,Frog and toad (fictitious characters), fiction,Frogs, fiction,Picture books,Literature and fiction, juvenile,Accessible book,Protected DAISY"
The tale of Mrs. Tittlemouse,H.Y. Xiao PhD,"Mice,Mice in fiction,Fiction,Ficción juvenil,Ratones,Juvenile fiction,Children's stories, English,Children's fiction,Mice, fiction,Initial teaching alphabet,Pictorial works,Board books,Orderliness,Animals,Hedgehogs,Picture books,Children's stories,Accessible book"
Swimmy,Ignasi Centelles,"Children's fiction,Friendship, fiction,Picture books,Fishes,Juvenile fiction,Courage,Cooperation,Fear, fiction,Courage, fiction,Fishes, fiction,Swimmy,Leo Lionni,Caldecott Honor Book,Ocean,Sea Fish,Red,Black,Big,Large,Sea,Rock,Coral,Anemones,Seaweed,Sea life,Lobster,Eels,Tuna,Rainbow Jellyfish,Camouflage,Children,Age 3-7,Pre-K to 2,Children's,Juvenile,Fantasy,Fiction,Books,Picture book,Literature,Stories,Friends,Friendship,Leader,Leadership,Teamwork,Working together,Honor,Differences,Problem solving,collectionID:caldecotthonor60,Peces,Vocabulary,Readers,Spanish language,Ficción juvenil,Spanish language materials,Cuentos italianos,Materiales lectura en idioma espanol,Novela,Accessible book,Protected DAISY"
Stellaluna,Janell Cannon,"owls,Juvenile Fiction,Aves,Bats,Birds,Ficción juvenil,Fiction,Juvenile software,Murciélagos,Software,Specimens,Toy and movable books,Picture books,Friendship,Board books,Spanish: Kindergarten,Short Stories,Children's 4-8 - Picturebooks,Children's Books/Ages 4-8 Fiction,Spanish: Grades 2-3,Spanish: Grades 1-2,Animals - Mammals,Animals - Birds,Children's fiction,Bats, fiction,Birds, fiction,Friendship, fiction,Juvenile literature,Action & Adventure,Animals,Baby Animals,Family,Adoption,Accessible book,Protected DAISY"
Room on the Broom,Ignacio Sanz,"Animals,Juvenile fiction,Dragons,Stories in rhyme,Animals in fiction,Dragons in fiction,Witches,Fiction,Witches in fiction,Children's fiction,Witches, fiction,Animals, fiction,Dragons, fiction,Sound, fiction,Board books,Halloween, fiction,Toy and movable books,Picture books,Child and youth fiction,Fantasy & Magic,Holidays & Celebrations,Halloween,Humorous Stories,Student activities,Creative activities and seat work,Accessible book,Protected DAISY"
Dear zoo,campbell-rod,"Zoo animals in fiction,Bilingual,Toy and movable books,Pets in fiction,Juvenile fiction,Zoo animals,Board books,Lift-the-flap books,Fiction,Chinese language materials,Pets,Specimens,Juvenile literature,Animals,Children's fiction,Zoo animals, fiction,Pets, fiction,Social conditions,Economic conditions,History,Picture books,JUVENILE FICTION / Animals / Zoos,Pictorial works,Revenge,Terrorism,Urdu language materials,Accessible book,Protected DAISY"
Rotkäppchen,Brothers Grimm,"Tales,Fairy tales,Juvenile literature,Folklore,Little Red Riding Hood (Tale),Pictorial works,Germany,Fairy Tales & Folklore - Single Title,Children's Books/Ages 4-8 Fiction,Children: Grades 2-3,Non-Classifiable,Children's 4-8,Juvenile Fiction,Juvenile fiction,Children's fiction,Picture books,Cuentos de hadas,Accessible book,Protected DAISY"
Jabberwocky,Lewis Carroll,"Nonsense-verses, English,Children's poetry, English,English Fantasy poetry,English Nonsense verses,English poetry,Nonsense verses,Toy and movable books,Artists' books,Specimens,Shaw alphabet,Nonsense verses, English,Children's Books/Ages 4-8 Nonfiction,Children: Grades 1-2,Art - Sculpture,Juvenile Nonfiction / Poetry / General,Children's poetry,Poetry,Picture books,Fantasy fiction,Monsters, fiction,Adventure and adventurers, fiction,Stories in rhyme,Accessible book"
Now we are six,A. A. Milne,"Children's poetry, English,English poetry,Poetry,Children's poetry,Juvenile fiction,Children's stories, English,Fiction,Juvenile literature,Picture books,Accessible book"
Mouse Soup,Alain Prinsaud,"Comadrejas,Soups,Weasels,Fiction,Sopas,Ficción juvenil,Ratones,Mice,Juvenile fiction,Accelerated Reader 2.5.,Children's fiction,Mice, fiction,Picture books for children,Picture books,Literature and fiction, juvenile,Accessible book,Protected DAISY"
Strega Nona,Tomie dePaola,"Avarice,Fiction,Folklore,Grandmothers,Healing,Juvenile fiction,Magic,Memory,Strega Nona (Fictitious character),Tales,Fairy tales,Blind,Books and reading,Juvenile literature,Folklore, italy,Big books,Children's fiction,Witches, fiction,Magic, fiction,Gardening, fiction,Italy, fiction,Witches,Audiobooks,Strega Nona (Fictional character),Picture books,Toy and movable books,collectionID:caldecotthonor70,Accessible book,Protected DAISY"
Stone soup,Marcia Brown,"Folklore,Soups,Spanish language,Picture books,Vocabulary,Readers,Juvenile fiction,Fiction,Novela juvenil,Juvenile literature,History,Children's fiction,Folklore, france,Soldiers, fiction,soup,neighbors,Caldecott Honor,Europe, fiction,collectionID:caldecotthonor40,Accessible book,Protected DAISY"
Days With Frog and Toad,Arnold Lobel,"children's fiction,children's short stories in english,classics,comedy & humor,ficción juvenil,fiction,friendship,frogs,juvenile audience,juvenile fiction,juvenile works,lectures et morceaux choisis,primary school,ranas,readers,sapos,short stories for young readers,Spanish language,toads,vocabulary,Frogs, fiction,Friendship, fiction,Picture books,Literature and fiction, juvenile,Children's fiction,Frogs,Juvenile fiction,Toads,Friendship,Fiction,Accessible book,Protected DAISY"
The selfish giant,Oscar Wilde,"Giants,Picture books,Juvenile fiction,Fiction,Fairy tales,Gardens, fiction,Giants, fiction,Children's fiction,Selfishness,Accessible book,Protected DAISY"
Madeline's rescue,Ludwig Bemelmans,"Children's stories, American,Dogs,Fiction,Juvenile fiction,Picture books for children,Rescues,Stories in rhyme,Paris (France),Caldecott medal book,Madeline (Fictitious character),Students,Girls,Animal welfare,Caldecott Medal,Children's stories,Schools,Orphans,Picture books,Children's fiction,Madeline (fictitious character), fiction,Paris (france), fiction,France, fiction,Orphans, fiction,Dogs, fiction,Audiobooks,Children's audiobooks,Conduct of life,Children,collectionID:caldecott50,Accessible book,Protected DAISY"
Princess and the Pea,Kari James,"Fairy tales,Fiction,Princesses,Princess and the pea,Hans Christian Andersen,Puzzles,Juvenile literature,Ladybird Books,Kid's,Children,Children's,Juvenile,Books,Picture books,Stories,Folk lore,Fantasy,Matresses,Feather beds,Pea,Princess,Prince,Accessible book,Protected DAISY"
The Mixed-Up Chameleon,Eric Carle,"Toy and movable books,Juvenile fiction,Zoo animals,Ficción juvenil,Fiction,Chameleons,Readers (Primary),Camaleones,Animales zoológicos,Zoos,Self-acceptance,Specimens,Aprobación de sí mismo,Parques zoológicos,picture books,art,children's fiction,Juvenile literature,Lizards, fiction,Children's stories,Self-acceptance, fiction,Fantasy fiction,Animals, fiction,Children's fiction,Pets, fiction,Toys, fiction,Juvenile,Bengali language materials,Bilingual,Bengali language,Caméléons,Romans, nouvelles, etc. pour la jeunesse,Acceptation de soi,Accessible book,Protected DAISY"
A pocket for Corduroy,Linda Tereyden,"Teddy bears,Corduroy (Fictitions character),Fiction,Juvenile fiction,Pockets,Toys,Spanish language materials,Bolsillos,Ficción juvenil,Osos de felpa,Picture books,Picture books for children,Corduroy (fictitious character), fiction,Bears, fiction,Children's fiction,Toys, fiction,Animals, fiction,Bears,Corduroy (Fictitious character),Teddy bears, fiction,Toy and movable books,Accessible book,Protected DAISY"
Peter's Chair,Ezra Jack Keats,"Brothers,Brothers and sisters,Family,Hmong language materials,Chairs,Juvenile fiction,Children's stories,Fiction,Chinese language materials,Babies,African Americans,Spanish language materials,Bilingual,Picture books,Hermanos,Ficción juvenil,Niños lactantes,Infants,Children's fiction,Chairs, fiction,Infants, fiction,Brothers and sisters, fiction,African americans, fiction,Infantes lactantes,Novela juvenil,Novela,Boys, fiction,Literature and fiction, juvenile,Accessible book,Protected DAISY"
The pie and the patty-pan,H.Y. Xiao PhD,"Juvenile fiction,Cats,Animals,Dogs,Children's stories,Fiction,Dogs in fiction,Cats in fiction,Picture books,Children's stories, English,Children's fiction,Rabbits, fiction,Katze,Hund,Accessible book,Protected DAISY"
In the Night Kitchen,Maurice Sendak,"Fantasy,Picture books for children,Picture books,Children's stories,Fantasy fiction,Juvenile fiction,Baking,Fiction,Pictures,Cake,Milk,Dreams,Children's fiction,Cooking, fiction,Night, fiction,Spanish language,Tortas,Novela juvenil,Leche,Hornería,Sueños,collectionID:caldecotthonor70,Accessible book,Protected DAISY"
The Gruffalo's Child,Axel Scheffler,"Fiction,Stories in rhyme,Mice,Animals,Curiosity,Juvenile fiction,Children's stories,Monsters,Pictorial works,Moed,Children's picture book,Children's fiction,Mice, fiction,Animals, fiction,Toy and movable books,Picture books,Child and youth fiction,Board books,Ipuinak-,Cuentos-,Miedo-,Haur eta gazteentzako liburuak,Libros infantiles,Beldurra-,Ficción juvenil,Ratones,Curiocidad,Jigsaw puzzles,Specimens,Literatura infanto-juvenil,Literatura inglesa,Accessible book,Protected DAISY"
